#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         485    0.832478    0.799153   0.0037523
         486    0.857291    0.799273  0.00374648
         487    0.869054    0.799416  0.00374153
         488    0.864782     0.79955  0.00373626
         489    0.845909    0.799645  0.00372982
         490    0.817027     0.79968  0.00372238
         491    0.784877     0.79965  0.00371492
         492    0.757438    0.799564  0.00370836
         493    0.741074    0.799446  0.00370273
         494       0.736    0.799317  0.00369746
         495    0.736442     0.79919  0.00369218
         496    0.737416    0.799066  0.00368683
         497    0.739557    0.798946  0.00368136
         498    0.747452    0.798843  0.00367542
         499    0.764825    0.798774  0.00366868
         500    0.790414    0.798758  0.00366138
         501    0.817768    0.798796  0.00365427
         502    0.838699    0.798875  0.00364786
         503    0.846745     0.79897  0.00364185
         504    0.839969    0.799052  0.00363553
         505    0.823833    0.799101  0.00362866
         506    0.809147    0.799121  0.00362154
         507    0.803404    0.799129  0.00361441
         508    0.806092    0.799143  0.00360732
         509    0.813525    0.799171  0.00360035
         510    0.823311    0.799218   0.0035936
         511     0.83274    0.799284  0.00358716
         512     0.83721    0.799358  0.00358092
         513    0.832428    0.799422  0.00357452
         514    0.818062    0.799459  0.00356775
         515    0.799132    0.799458  0.00356082
         516    0.784002    0.799428  0.00355405
         517    0.780031    0.799391  0.00354737
         518    0.788585     0.79937  0.00354059
         519    0.803798    0.799378  0.00353377
         520    0.816312    0.799411  0.00352713
         521    0.818663    0.799448  0.00352055
         522    0.809128    0.799466  0.00351386
         523    0.792084    0.799452  0.00350717
         524    0.775752    0.799407  0.00350077
         525    0.769306     0.79935  0.00349457
         526    0.778763     0.79931  0.00348814
         527      0.8026    0.799317  0.00348153
         528    0.831439    0.799378  0.00347547
         529    0.852765    0.799478  0.00347036
         530    0.857528    0.799588  0.00346554
         531    0.844625    0.799673  0.00346005
         532    0.820701    0.799712  0.00345377
         533    0.795627    0.799705   0.0034473
         534    0.776696    0.799662  0.00344112
         535    0.765471    0.799598  0.00343528
         536    0.759897    0.799524  0.00342967
         537    0.759206    0.799449   0.0034241
         538    0.765288    0.799385  0.00341833
         539    0.778313    0.799346  0.00341221
         540    0.793749    0.799336  0.00340591
         541    0.806747    0.799349  0.00339964
         542    0.816526    0.799381  0.00339351
         543    0.824172    0.799427  0.00338757
         544    0.828933    0.799481  0.00338178
         545    0.829527    0.799536  0.00337602
         546    0.827217    0.799587  0.00337022
         547    0.824496    0.799632  0.00336437
         548    0.821918    0.799673  0.00335847
         549    0.818765    0.799708  0.00335253
         550    0.814436    0.799734  0.00334655
         551    0.806326    0.799746  0.00334049
         552    0.789662    0.799728  0.00333449
         553    0.762309     0.79966  0.00332915
         554    0.728657    0.799532  0.00332561
         555    0.698886    0.799351  0.00332455
         556    0.684545    0.799144  0.00332498
         557    0.691988    0.798952  0.00332457
         558    0.717396    0.798806  0.00332183
         559     0.74952    0.798718  0.00331705
         560    0.779548    0.798684  0.00331131
         561    0.805711    0.798696  0.00330543
         562    0.826871    0.798746  0.00329993
         563    0.838564    0.798817  0.00329482
         564    0.838782    0.798888  0.00328974
         565    0.832122    0.798947  0.00328445
         566    0.826088    0.798995  0.00327899
         567    0.825837    0.799042  0.00327355
         568    0.832558    0.799101  0.00326832
         569    0.844373     0.79918  0.00326354
         570    0.857618    0.799283  0.00325943
         571    0.868308    0.799404  0.00325596
         572    0.873332    0.799533  0.00325283
         573    0.870867    0.799658  0.00324954
         574    0.860586    0.799764  0.00324561
         575    0.844298    0.799841  0.00324089
         576    0.825814    0.799886  0.00323558
         577    0.808179    0.799901     0.00323
         578    0.790713    0.799885  0.00322445
         579    0.770713    0.799834  0.00321928
         580    0.750452    0.799749  0.00321485
         581    0.742154     0.79965  0.00321085
         582    0.757382    0.799577  0.00320615
         583    0.788808    0.799559   0.0032007
         584    0.817189    0.799589  0.00319537
         585    0.831828    0.799644  0.00319038
         586    0.833074    0.799701  0.00318544
         587    0.824857    0.799744  0.00318031
         588    0.811128    0.799764  0.00317496
         589    0.796425    0.799758  0.00316957
         590    0.785975    0.799735  0.00316428
         591    0.783038    0.799706  0.00315906
         592    0.785741    0.799683  0.00315381
         593     0.78773    0.799663  0.00314855
         594    0.783592    0.799635  0.00314337
         595    0.773305    0.799591   0.0031384
         596    0.760759    0.799526  0.00313381
         597    0.749433    0.799442  0.00312968
         598    0.741151    0.799345  0.00312597
         599    0.737578    0.799242  0.00312245
         600    0.740619    0.799144  0.00311877
         601     0.75139    0.799064   0.0031146
         602    0.768984    0.799014  0.00310982
         603    0.789802    0.798999   0.0031047
         604    0.808782    0.799015  0.00309961
         605    0.822174    0.799054  0.00309472
         606    0.828722    0.799103     0.00309
         607     0.82873    0.799151  0.00308529
         608    0.823644    0.799192  0.00308048
         609    0.816104    0.799219  0.00307555
         610     0.80922    0.799236  0.00307055
         611    0.805411    0.799246  0.00306554
         612    0.804938    0.799255  0.00306055
         613    0.805318    0.799265  0.00305557
         614    0.804326    0.799273   0.0030506
         615      0.8044    0.799282  0.00304566
         616    0.811643    0.799302  0.00304078
         617    0.828637    0.799349  0.00303622
         618     0.84993    0.799431  0.00303241
         619    0.865756    0.799538   0.0030294
         620    0.868823     0.79965  0.00302658
         621    0.857533    0.799743  0.00302314
         622     0.83493      0.7998  0.00301881
         623    0.807259    0.799812  0.00301399
         624    0.783582    0.799786  0.00300927
         625    0.772953    0.799743  0.00300476
         626    0.778361    0.799709  0.00300015
         627    0.793985      0.7997  0.00299538
         628     0.81098    0.799718  0.00299067
         629    0.824372    0.799757  0.00298617
         630    0.832512    0.799809  0.00298188
         631      0.8337    0.799862  0.00297764
         632    0.826009    0.799904  0.00297322
         633    0.808885    0.799918  0.00296855
         634     0.78471    0.799894  0.00296397
         635     0.76048    0.799832  0.00295995
         636    0.745701    0.799747  0.00295652
         637    0.744788    0.799661  0.00295314
         638     0.75487     0.79959  0.00294934
         639    0.770909    0.799546  0.00294507
         640    0.787618    0.799527  0.00294053
         641    0.799617    0.799527  0.00293594
         642    0.803285    0.799533  0.00293137
         643    0.798365    0.799531  0.00292681
         644    0.788527    0.799514  0.00292232
         645    0.780324    0.799484  0.00291794
         646    0.780072    0.799454  0.00291358
         647    0.790364     0.79944  0.00290911
         648    0.808439    0.799454  0.00290465
         649    0.827283    0.799497  0.00290049
         650    0.839325    0.799558  0.00289668
         651    0.840371    0.799621  0.00289291
         652    0.831104    0.799669  0.00288887
         653    0.816458    0.799695  0.00288456
         654    0.802326    0.799699  0.00288015
         655    0.790066    0.799684  0.00287579
         656    0.775031    0.799647  0.00287166
         657     0.75289    0.799575  0.00286817
         658    0.726736    0.799465  0.00286594
         659    0.707113    0.799325  0.00286502
         660    0.705511    0.799182   0.0028642
         661    0.727223    0.799074  0.00286194
         662    0.767648    0.799026  0.00285801
         663    0.813858    0.799048  0.00285378
         664    0.851146    0.799127  0.00285056
         665    0.869479    0.799233  0.00284824
         666    0.866656    0.799334  0.00284576
         667    0.848602    0.799408  0.00284245
         668     0.82626    0.799448  0.00283848
         669    0.809054    0.799462  0.00283428
         670    0.801128    0.799465  0.00283005
         671    0.804708    0.799473  0.00282584
         672    0.822912    0.799508  0.00282185
         673    0.854992     0.79959  0.00281886
         674    0.891721    0.799727  0.00281799
         675    0.919924    0.799905  0.00281944
         676    0.930115    0.800097  0.00282184
         677    0.919325    0.800273  0.00282316
         678    0.889302    0.800405  0.00282205
         679    0.844586     0.80047  0.00281864
         680    0.793628     0.80046  0.00281452
         681     0.74964    0.800385  0.00281137
         682     0.72555    0.800275  0.00280939
         683    0.726209    0.800167  0.00280737
         684    0.745314    0.800087  0.00280441
         685    0.768762    0.800041  0.00280069
         686    0.783085    0.800016  0.00279672
         687     0.78335    0.799992  0.00279275
         688    0.774176    0.799955  0.00278894
         689    0.763851    0.799902  0.00278539
         690    0.757429    0.799841  0.00278203
         691    0.755326    0.799776  0.00277875
         692    0.756513    0.799714  0.00277544
         693    0.760402    0.799657  0.00277201
         694    0.766253    0.799609  0.00276844
         695    0.771826    0.799569  0.00276474
         696    0.773237    0.799531  0.00276103
         697    0.768134    0.799486  0.00275743
         698    0.759873    0.799429  0.00275407
         699    0.756833    0.799368   0.0027508
         700    0.765702     0.79932  0.00274729
         701    0.787038    0.799303  0.00274343
         702    0.816723    0.799327  0.00273963
         703    0.848259    0.799397  0.00273662
         704    0.874391    0.799504  0.00273481
         705    0.889076    0.799631  0.00273388
         706    0.890036    0.799759    0.002733
         707    0.880148    0.799872   0.0027315
         708    0.865984    0.799966  0.00272924
         709    0.854404    0.800043  0.00272647
         710    0.848924    0.800111   0.0027235
         711    0.848595     0.80018  0.00272052
         712    0.850233     0.80025  0.00271761
         713    0.851018    0.800321  0.00271473
         714    0.848603    0.800389  0.00271177
         715    0.840003    0.800444  0.00270854
         716    0.822361    0.800475  0.00270493
         717    0.796454    0.800469  0.00270116
         718    0.768633    0.800425  0.00269777
         719    0.747179    0.800351  0.00269503
         720    0.736664    0.800262  0.00269274
         721    0.735873    0.800173  0.00269048
         722    0.740096     0.80009  0.00268804
         723    0.745552    0.800014  0.00268538
         724    0.752572    0.799949  0.00268247
         725    0.763892    0.799899  0.00267924
         726    0.780165    0.799872  0.00267568
         727    0.798519     0.79987    0.002672
         728    0.814804    0.799891  0.00266841
