#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         558     1.07609     1.19821  0.00498274
         559     1.12428     1.19808  0.00497558
         560     1.16932     1.19803  0.00496696
         561     1.20857     1.19804  0.00495814
         562     1.24031     1.19812  0.00494989
         563     1.25785     1.19823  0.00494223
         564     1.25817     1.19833  0.00493461
         565     1.24818     1.19842  0.00492667
         566     1.23913     1.19849  0.00491849
         567     1.23876     1.19856  0.00491033
         568     1.24884     1.19865  0.00490248
         569     1.26656     1.19877  0.00489532
         570     1.28643     1.19892  0.00488914
         571     1.30246     1.19911  0.00488394
         572        1.31      1.1993  0.00487925
         573      1.3063     1.19949  0.00487431
         574     1.29088     1.19965  0.00486841
         575     1.26645     1.19976  0.00486133
         576     1.23872     1.19983  0.00485336
         577     1.21227     1.19985    0.004845
         578     1.18607     1.19983  0.00483668
         579     1.15607     1.19975  0.00482891
         580     1.12568     1.19962  0.00482228
         581     1.11323     1.19948  0.00481627
         582     1.13607     1.19937  0.00480923
         583     1.18321     1.19934  0.00480106
         584     1.22578     1.19938  0.00479305
         585     1.24774     1.19947  0.00478557
         586     1.24961     1.19955  0.00477817
         587     1.23728     1.19962  0.00477046
         588     1.21669     1.19965  0.00476243
         589     1.19464     1.19964  0.00475436
         590     1.17896      1.1996  0.00474643
         591     1.17456     1.19956  0.00473859
         592     1.17861     1.19952  0.00473071
         593     1.18159     1.19949  0.00472283
         594     1.17539     1.19945  0.00471506
         595     1.15996     1.19939   0.0047076
         596     1.14114     1.19929  0.00470071
         597     1.12415     1.19916  0.00469452
         598     1.11173     1.19902  0.00468895
         599     1.10637     1.19886  0.00468367
         600     1.11093     1.19872  0.00467816
         601     1.12709      1.1986  0.00467189
         602     1.15348     1.19852  0.00466473
         603      1.1847      1.1985  0.00465705
         604     1.21317     1.19852  0.00464941
         605     1.23326     1.19858  0.00464208
         606     1.24308     1.19865    0.004635
         607      1.2431     1.19873  0.00462794
         608     1.23547     1.19879  0.00462072
         609     1.22416     1.19883  0.00461332
         610     1.21383     1.19885  0.00460583
         611     1.20812     1.19887  0.00459831
         612     1.20741     1.19888  0.00459082
         613     1.20798      1.1989  0.00458336
         614     1.20649     1.19891  0.00457591
         615      1.2066     1.19892  0.00456848
         616     1.21746     1.19895  0.00456117
         617     1.24295     1.19902  0.00455433
         618     1.27489     1.19915  0.00454862
         619     1.29863     1.19931  0.00454411
         620     1.30323     1.19948  0.00453987
         621      1.2863     1.19961  0.00453471
         622      1.2524      1.1997  0.00452821
         623     1.21089     1.19972  0.00452098
         624     1.17537     1.19968   0.0045139
         625     1.15943     1.19961  0.00450714
         626     1.16754     1.19956  0.00450023
         627     1.19098     1.19955  0.00449308
         628     1.21647     1.19958    0.004486
         629     1.23656     1.19964  0.00447926
         630     1.24877     1.19971  0.00447282
         631     1.25055     1.19979  0.00446646
         632     1.23901     1.19986  0.00445983
         633     1.21333     1.19988  0.00445283
         634     1.17707     1.19984  0.00444595
         635     1.14072     1.19975  0.00443993
         636     1.11855     1.19962  0.00443478
         637     1.11718     1.19949  0.00442971
         638     1.13231     1.19939  0.00442401
         639     1.15636     1.19932   0.0044176
         640     1.18143     1.19929  0.00441079
         641     1.19943     1.19929  0.00440391
         642     1.20493      1.1993  0.00439706
         643     1.19755      1.1993  0.00439022
         644     1.18279     1.19927  0.00438348
         645     1.17049     1.19923  0.00437691
         646     1.17011     1.19918  0.00437036
         647     1.18555     1.19916  0.00436366
         648     1.21266     1.19918  0.00435698
         649     1.24092     1.19925  0.00435074
         650     1.25899     1.19934  0.00434502
         651     1.26056     1.19943  0.00433936
         652     1.24666      1.1995  0.00433331
         653     1.22469     1.19954  0.00432684
         654     1.20349     1.19955  0.00432023
         655      1.1851     1.19953  0.00431369
         656     1.16255     1.19947  0.00430748
         657     1.12934     1.19936  0.00430225
         658      1.0901      1.1992  0.00429892
         659     1.06067     1.19899  0.00429753
         660     1.05827     1.19877   0.0042963
         661     1.09083     1.19861  0.00429291
         662     1.15147     1.19854  0.00428701
         663     1.22079     1.19857  0.00428068
         664     1.27672     1.19869  0.00427585
         665     1.30422     1.19885  0.00427236
         666     1.29998       1.199  0.00426864
         667      1.2729     1.19911  0.00426368
         668     1.23939     1.19917  0.00425773
         669     1.21358     1.19919  0.00425142
         670     1.20169      1.1992  0.00424507
         671     1.20706     1.19921  0.00423876
         672     1.23437     1.19926  0.00423278
         673     1.28249     1.19939  0.00422829
         674     1.33758     1.19959  0.00422699
         675     1.37989     1.19986  0.00422916
         676     1.39517     1.20015  0.00423276
         677     1.37899     1.20041  0.00423474
         678     1.33395     1.20061  0.00423307
         679     1.26688      1.2007  0.00422796
         680     1.19044     1.20069  0.00422177
         681     1.12446     1.20058  0.00421706
         682     1.08832     1.20041  0.00421409
         683     1.08931     1.20025  0.00421105
         684     1.11797     1.20013  0.00420662
         685     1.15314     1.20006  0.00420103
         686     1.17463     1.20002  0.00419507
         687     1.17502     1.19999  0.00418912
         688     1.16126     1.19993  0.00418341
         689     1.14578     1.19985  0.00417808
         690     1.13614     1.19976  0.00417305
         691     1.13299     1.19966  0.00416812
         692     1.13477     1.19957  0.00416316
         693      1.1406     1.19949  0.00415802
         694     1.14938     1.19941  0.00415265
         695     1.15774     1.19935  0.00414711
         696     1.15986      1.1993  0.00414154
         697      1.1522     1.19923  0.00413615
         698     1.13981     1.19914   0.0041311
         699     1.13525     1.19905   0.0041262
         700     1.14855     1.19898  0.00412094
         701     1.18056     1.19895  0.00411514
         702     1.22508     1.19899  0.00410945
         703     1.27239      1.1991  0.00410493
         704     1.31159     1.19926  0.00410221
         705     1.33361     1.19945  0.00410081
         706     1.33505     1.19964   0.0040995
         707     1.32022     1.19981  0.00409725
         708     1.29898     1.19995  0.00409386
         709     1.28161     1.20006   0.0040897
         710     1.27339     1.20017  0.00408524
         711     1.27289     1.20027  0.00408078
         712     1.27535     1.20037  0.00407641
         713     1.27653     1.20048  0.00407209
         714      1.2729     1.20058  0.00406765
         715        1.26     1.20067  0.00406281
         716     1.23354     1.20071   0.0040574
         717     1.19468      1.2007  0.00405175
         718     1.15295     1.20064  0.00404665
         719     1.12077     1.20053  0.00404255
         720       1.105     1.20039  0.00403911
         721     1.10381     1.20026  0.00403573
         722     1.11014     1.20013  0.00403207
         723     1.11833     1.20002  0.00402808
         724     1.12886     1.19992  0.00402371
         725     1.14584     1.19985  0.00401885
         726     1.17025     1.19981  0.00401352
         727     1.19778     1.19981  0.00400801
         728     1.22221     1.19984  0.00400262
         729      1.2393     1.19989  0.00399749
