#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         611     9.66756     9.67155   0.0209926
         612      9.6631     9.67153   0.0209583
         613     9.67476     9.67154   0.0209241
         614     9.65438     9.67151     0.02089
         615      9.5869     9.67137   0.0208565
         616     9.44553       9.671   0.0208259
         617     9.27424     9.67036   0.0208021
         618     9.15377     9.66953   0.0207852
         619     9.13645     9.66866   0.0207694
         620     9.22899     9.66796    0.020748
         621     9.40378     9.66753    0.020719
         622     9.60862     9.66744   0.0206859
         623     9.77691     9.66761   0.0206534
         624     9.82953     9.66787    0.020622
         625     9.77923     9.66805   0.0205897
         626     9.65686     9.66803   0.0205569
         627     9.53975     9.66783   0.0205251
         628     9.45073     9.66748   0.0204953
         629     9.39607     9.66705   0.0204673
         630     9.40078     9.66663   0.0204392
         631     9.47372     9.66632   0.0204091
         632     9.61861     9.66625   0.0203769
         633     9.81023     9.66647    0.020346
         634     9.99099     9.66698   0.0203203
         635      10.093     9.66766   0.0202994
         636     10.0934     9.66832   0.0202785
         637     10.0102     9.66886   0.0202538
         638        9.89     9.66921    0.020225
         639     9.76122     9.66935   0.0201939
         640     9.67285     9.66936   0.0201623
         641     9.65141     9.66933   0.0201309
         642     9.68007     9.66935   0.0200995
         643     9.74406     9.66946   0.0200686
         644     9.79618     9.66966   0.0200384
         645     9.78405     9.66984   0.0200081
         646     9.69526     9.66988   0.0199772
         647     9.55445      9.6697   0.0199471
         648     9.43094     9.66933   0.0199197
         649      9.3618     9.66886   0.0198947
         650     9.37717     9.66841   0.0198691
         651     9.45972     9.66809   0.0198412
         652     9.56734     9.66793   0.0198114
         653     9.66412     9.66793    0.019781
         654     9.74633     9.66805   0.0197511
         655     9.85445     9.66833    0.019723
         656     10.0166     9.66886   0.0197001
         657     10.2003     9.66967   0.0196867
         658     10.3332     9.67068   0.0196826
         659     10.3216     9.67167   0.0196775
         660     10.1385     9.67237   0.0196604
         661     9.83471     9.67262   0.0196322
         662     9.50402     9.67236   0.0196042
         663     9.25841     9.67174   0.0195846
         664     9.14868     9.67095   0.0195709
         665     9.19004     9.67023   0.0195548
         666     9.34538     9.66974   0.0195316
         667     9.51299     9.66951   0.0195037
         668     9.63482     9.66945   0.0194746
         669       9.684     9.66948   0.0194455
         670     9.64543     9.66944   0.0194165
         671     9.49032     9.66917   0.0193894
         672     9.24008     9.66853    0.019371
         673     8.96104     9.66748   0.0193707
         674     8.75674     9.66613   0.0193891
         675     8.68953     9.66468   0.0194143
